username,firstname,lastname,email,password
student01,Student,One,student01@gmail.com,Umap12345@
student02,Student,Two,student02@gmail.com,Umap12345@
student03,Student,Three,student03@gmail.com,Umap12345@
student04,Student,Four,student04@gmail.com,Umap12345@
student05,Student,Five,student05@gmail.com,Umap12345@
teacher01,Teacher,One,teacher01@gmail.com,Umap12345@
teacher02,Teacher,Two,teacher02@gmail.com,Umap12345@
teacher03,Teacher,Three,teacher03@gmail.com,Umap12345@
teacher04,Teacher,Four,teacher04@gmail.com,Umap12345@
teacher05,Teacher,Five,teacher05@gmail.com,Umap12345@
manager01,Manager,One,manager01@gmail.com,Umap12345@
manager02,Manager,Two,manager02@gmail.com,Umap12345@
manager03,Manager,Three,manager03@gmail.com,Umap12345@
manager04,Manager,Four,manager04@gmail.com,Umap12345@
manager05,Manager,Five,manager05@gmail.com,Umap12345@
trainingspecialist01,Trainingspecialist,One,trainingspecialist01@gmail.com,Umap12345@
trainingspecialist02,Trainingspecialist,Two,trainingspecialist02@gmail.com,Umap12345@
trainingspecialist03,Trainingspecialist,Three,trainingspecialist03@gmail.com,Umap12345@
trainingspecialist04,Trainingspecialist,Four,trainingspecialist04@gmail.com,Umap12345@
trainingspecialist05,Trainingspecialist,Five,trainingspecialist05@gmail.com,Umap12345@
adminsystem,Admin,System,adminsystem@gmail.com,Umap12345@
